id;name;logo;logo_content_type
1;Inteligente open-source Cantabria;../fake-data/blob/hipster.png;image/png
2;Amarillo Bután CSS;../fake-data/blob/hipster.png;image/png
3;bandwidth Bacon;../fake-data/blob/hipster.png;image/png
4;circuit;../fake-data/blob/hipster.png;image/png
5;usuario Irlanda;../fake-data/blob/hipster.png;image/png
6;Rupee;../fake-data/blob/hipster.png;image/png
7;Open-source Blanco withdrawal;../fake-data/blob/hipster.png;image/png
8;paradigms;../fake-data/blob/hipster.png;image/png
9;Navarra Sorprendente bypassing;../fake-data/blob/hipster.png;image/png
10;revolutionize cross-platform generate;../fake-data/blob/hipster.png;image/png
